date,person_name,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,tax,loan_status
23-08-1993,Noah Miguel Vides,32.0,male,Associate,96865.0,10.0,MORTGAGE,7500.0,EDUCATION,6.04,0.08,10.0,601.0,No,1,Rejected
01-12-2001,Gurwin Manecas,24.0,male,Assoc. Degree,56838.0,6.0,RENT,9000.0,EDU,11.49,0.16,4.0,647.0,Yes,1,Pending
02-03-2003,Merrita Risota,22.0,female,Master,37298.0,0.0,RNT,5000.0,MEDICAL,14.88,0.13,4.0,711.0,No,1,Approved
19-12-2002,Mauan Domingos Vila,23.0,female,Bachelor,39944.0,1.0,OWN,5000.0,VENTURE,13.99,0.13,3.0,597.0,Yes,1,Rejected
25-06-1983,Lorine Noval,42.0,male,High School,67974.0,20.0,MORTGAGE,10000.0,HOMEIMPROVEMENT,15.41,0.15,11.0,586.0,No,1,Approved
08-10-1994,Lourdes Maria Rebondoo,31.0,female,Bachelor,28765.0,7.0,OWN,4500.0,PERSONAL,5.79,0.16,9.0,669.0,No,1,Pending
21-12-1994,Luine Canuto,31.0,F,Bachelor,100810.0,7.0,RENT,12000.0,PERSONL,12.42,0.12,7.0,670.0,Yes,1,Pending
07-01-2000,Abhyudaya Montenegro,25.0,female,Bachelor,45608.0,3.0,RENT,2800.0,HOMEIMPROVEMENT,16.29,0.06,3.0,628.0,No,1,Approved
20-09-2000,Hídio Fael,25.0,female,H-School,88778.0,0.0,MORTGAGE,12000.0,HOMEIMP,11.11,0.14,4.0,590.0,No,1,Approved
12-11-1996,Ntimashi Estrompa,29.0,F,Associate,54924.0,8.0,RENT,12000.0,MEDICAL,12.99,0.22,8.0,672.0,No,1,Rejected
30-12-1997,Lara José Comendinha,28.0,Men,Bachelor,21570.0,2.0,RENT,3344.0,DEBTCONSOLIDATION,13.01,0.15,6.0,574.0,No,1,Approved
09-01-1992,Allena Malvas,33.0,female,Bachelor,133147.0,13.0,MORTGAGE,23800.0,MEDICAL,10.25,0.18,5.0,650.0,No,1,Pending
03-08-2001,Edo Varejão,24.0,male,Master,39682.0,2.0,RENT,1500.0,MEDICAL,9.91,0.04,3.0,587.0,No,1,Approved
04-05-1998,Davidson Júnior Leoquedio,27.0,male,Bachelor,81346.0,8.0,RENT,5000.0,PERSON,14.09,0.06,5.0,607.0,Yes,1,Rejected
26-01-2002,Remi Ramalho,23.0,male,Master,85109.0,0.0,OWN,11000.0,VENTURE,7.14,0.13,4.0,653.0,No,1,Pending
05-09-1999,Saviola Sobreiro,26.0,male,Associate,73103.0,3.0,MORTGAGE,8000.0,PERSONL,16.77,0.11,2.0,552.0,Yes,1,Rejected
28-12-1995,Luana Carina Barrinhas,30.0,female,Associate,56403.0,7.0,OWN,,PERSONAL,12.68,0.11,6.0,690.0,Yes,1,Rejected
27-01-1986,Guilherme André Felismina,39.0,female,Associate,46495.0,21.0,RENT,7000.0,DEBTCONSOLIDATION,11.49,0.15,11.0,631.0,No,1,Rejected
12-05-1990,Tomás Eusébio Ludovico,35.0,female,Associate,60776.0,11.0,RENT,12000.0,MEDICAL,13.47,0.2,7.0,610.0,Yes,1,Pending
27-07-2000,Flin Guedes,25.0,female,MSc,90940.0,0.0,RENT,6400.0,PERSONAL,15.99,0.07,2.0,489.0,Yes,1,Pending
28-03-1999,Aegison Morgadaz,26.0,male,Associate,62332.0,4.0,MORTGAGE,13000.0,DEBTCONS,15.33,0.21,2.0,622.0,No,1,Pending
09-09-1982,Faizan Meruje,43.0,male,High School,55044.0,19.0,RENT,7000.0,EDUCATION,5.42,0.13,12.0,662.0,No,1,Rejected
11-08-1986,Diamantino Freiria,39.0,Woman,High School,54331.0,12.0,RENT,8000.0,MEDICAL,12.53,0.15,14.0,586.0,No,1,Pending
04-06-2003,Pedro Agostinho Olivares,22.0,M,High School,32673.0,0.0,MORTGAGE,1550.0,HOMEIMPROVEMENT,11.01,0.05,2.0,630.0,No,1,Approved
03-07-1993,Ivone Maças,32.0,female,Bachelor,85210.0,6.0,MRTG,5000.0,MEDICAL,11.47,0.06,6.0,680.0,No,1,Pending
30-10-1996,Medea Balulo,29.0,female,Master,60991.0,6.0,MORTGAGE,13650.0,MEDICAL,10.99,0.22,9.0,626.0,Yes,1,Pending
16-06-1994,Carmorinda Louzao,31.0,female,Bachelor,163187.0,7.0,MORTGAGE,3574.0,VENTURE,13.13,0.02,9.0,553.0,Yes,1,Rejected
07-06-2004,Halimjon Quintella,21.0,male,Bachelor,53822.0,0.0,RENT,10000.0,PERSONAL,14.74,0.19,4.0,642.0,No,1,Rejected
12-04-1996,Maaniya Carolino,29.0,male,Bachelor,85017.0,10.0,RNT,6125.0,VENTURE,7.49,0.07,8.0,678.0,No,1,Rejected
26-04-1999,Joaquim João Funzamo,26.0,male,HS,74170.0,3.0,OWN,1500.0,HOMEIMPROVEMENT,12.84,0.02,2.0,623.0,No,1,Rejected
16-04-1996,Krystal Pracana,29.0,male,Bachelor,112889.0,5.0,MORTGAGE,20000.0,PERSONAL,16.82,0.18,8.0,652.0,Yes,1,Rejected
