Código do Curso;Código da UC;Nº Mecanográfico;Nome;Email;Regimes especiais de frequência
J3;J301N1;200000;João Mendes;a200000@alunos.uminho.pt;
J3;J304N3;200001;Ana Soares;a200001@alunos.uminho.pt;
J3;J301N1;200002;Pedro Silva;a200002@alunos.uminho.pt;TE
J3;J301N1;200003;Carla Costa;a200003@alunos.uminho.pt;
J3;J304N3;200004;Tiago Martins;a200004@alunos.uminho.pt;
J3;J301N1;200005;Mariana Lopes;a200005@alunos.uminho.pt;AUM
J3;J304N3;200006;Rui Fernandes;a200006@alunos.uminho.pt;
J3;J301N1;200007;Beatriz Figueiredo;a200007@alunos.uminho.pt;
J3;J301N1;200008;Carlos Alves;a200008@alunos.uminho.pt;
J3;J304N3;200009;Sara Marques;a200009@alunos.uminho.pt;
J3;J301N1;200010;Paulo Ribeiro;a200010@alunos.uminho.pt;DLG
J3;J301N1;200011;Clara Oliveira;a200011@alunos.uminho.pt;
J3;J301N1;200012;Luis Gomes;a200012@alunos.uminho.pt;
J3;J304N3;200013;Joana Santos;a200013@alunos.uminho.pt;
J3;J301N1;200014;Bruno Ferreira;a200014@alunos.uminho.pt;AUM
J3;J301N1;200015;Inês Araújo;a200015@alunos.uminho.pt;
J3;J304N3;200016;Victor Lima;a200016@alunos.uminho.pt;
J3;J301N1;200017;Raquel Nunes;a200017@alunos.uminho.pt;
J3;J301N1;200018;John Smith;a200018@alunos.uminho.pt;EINT
J3;J301N1;200019;Emily Johnson;a200019@alunos.uminho.pt;
J3;J301N1;200020;James Miller;a200020@alunos.uminho.pt;EINT
J3;J304N3;200021;Daniel Costa;a200021@alunos.uminho.pt;
J3;J301N1;200022;Michael Brown;a200022@alunos.uminho.pt;EINT
J3;J301N1;200023;Hugo Fernandes;a200023@alunos.uminho.pt;
J3;J304N3;200024;Alexandre Gomes;a200024@alunos.uminho.pt;
J3;J301N1;200025;Richard Taylor;a200025@alunos.uminho.pt;EINT
